aaaa	工 恭恭敬敬
gmkh	两路
gmkk	两口
gmkq	刺史
gmkw	两只
gmln	勣
gmlp	两边
gmma	瑞典
gmmd	两岸
gmmg	珊
gmmh	两幅
gmmq	再见
gmmv	瓔
gmn	玑
gmnf	两层
gmnl	两翼
gmnm	两届
gmnn	现已
gmnt	两性
gmnu	恵
gmod	两类
gmpe	两家
gmpt	刺客
gmpu	现实
gmqj	现象
gmqk	两名 两句
gmqn	现
gmqq	现金
gmqs	刺杀
gmrc	两把
gmrh	两年 一周年
gmrk	曹操
gmrt	两手
gmse	两极
gmss	两栖
gmst	两枚
gmsv	两根
gmte	两艘
gmtf	现行 两行 再行
gmtg	再生
gmth	两处
gmtj	不由得
gmtk	两种
gmtl	责备
gmtm	现役
gmts	两条
gmty	不由自主
gmu	责
gmud	现状 两头
gmuk	两部
gmum	两端
gmup	两旁
gmuq	再次 两次
gmut	两道
gmvn	刺刀
gmwa	现代 两代
gmwb	再创 邴
gmwf	两会
gmwh	两个
gmwi	丙
gmwm	两侧
gmwr	两件
gmwt	责任 现任
gmwu	两位
gmww	两
gmwy	现今 璀
gmxe	两级 两组
gmxt	两张
gmya	再度
gmyb	郦
gmye	彲 彨
gmyg	鹂
gmyp	逦
gmyu	再说
gmyw	两座
gmyy	丽 两方
gnad	与其
gnaq	开发区
gndg	琚
gndv	平民百姓
gnfb	殖民地
gnft	殖民者
gngd	与
gngi	与否
gngw	欤
gnhc	瑕
gniv	不敢当
gnn	玘
gnng	瓦屋
gnni	静悄悄
gnqe	瓦解
gnrm	瓦罐
gnsv	不必要
gntt	珌
gnum	开发商
gnwe	璆
gnwf	与会
gnwy	玦
gnyf	瓧 瓩
gnyi	夨
gnyn	瓦
gnyq	不以为然
gnyy	殖民主义
godd	严厉
godl	来历
godr	严
goga	严刑 戬
gogc	来到
gogd	亚
gogf	垩
gogh	严正
gogj	晋
gogk	严整
gogn	恶
gogu	亚平
gogy	璞
goi	来 灭
goid	来源
goit	恶劣
goiy	亚洲
gojf	来时
gojt	来临
golk	来回
gomc	严峻
gomu	赉
gont	恶性
gony	恶心
gooy	琰
gopf	严寒 严守
gopl	亚军
gopn	严密
goqh	璘
gorh	来看
gosg	严酷
goss	严禁
gost	严格
gota	晋升
gotg	严重 严惩
goth	来自
gotj	来得
goty	来往
gouj	恶意
govi	严肃
gowa	晋代
goww	恶人
gowx	恶化 来华
gowy	来信
goxq	灭绝
goya	严谨
goyf	来讲
goyn	灭亡
goyu	来说
goyy	来访
gpdg	王安石
gpfi	琮
gpfq	琓
gpgg	瑄
gphh	事实上
gpjg	一定量
gplh	珲 琿
gplp	璭
gpnn	琯
gpqb	琬
gpuy	天安门
gpwf	王守仁
gpws	琛
gpww	一家人
gpyy	现实主义
gqag	殡葬 殣
gqah	殢
gqal	尶
gqbg	殛
gqbm	列出
gqck	殆
gqdn	殗
gqdq	殑
gqds	五角大楼
gqeg	殂
gqfc	死去
gqff	五色土
gqfg	烈士
gqfh	殖
gqfm	殰
gqft	死者
gqfw	麸
gqfy	殏
gqga	死刑 殌
gqge	列表
gqgg	殭
gqgo	歼灭
gqgq	殊死
gqgt	残
gqho	殩
gqi	歹
gqit	死活
gqiw	列举
gqja	残暴
gqje	裂
gqjf	不多时
gqjg	珣
gqjh	列
gqji	虺
gqjo	烈 鮤
gqjp	迾
gqjq	銐
gqjv	姴
gqkf	殫
gqkk	青铜器
gqkm	殒
gqlg	列车
gqlw	死囚
gqmc	殁
gqmd	殃
gqmt	瓊
gqna	殖民
gqnn	死尸
gqoo	烈火
gqps	列宁
gqpw	殡
gqqj	殉
gqqy	残留
gqri	殊
gqrn	天然气
gqsg	残酷
gqtc	骜
gqtd	歼敌 獒
gqtf	歼
gqtg	鳌
gqth	兀自
gqtj	螯
gqtm	嶅 赘
gqto	熬
gqtp	遨
gqtq	鏊
gqtr	殇
gqty	列入 敖
gque	不久前
gquf	殚
gquk	殕
gqut	残疾
gqv	兀
gqvh	琤
gqvy	残忍
gqwe	餮 殄
gqwi	殓
gqwo	殦
gqwt	死伤 残余
gqww	殮
gqxb	死
gqxk	列强
gqxt	裂缝
gqxy	裂纹
gqya	列席
gqyl	列为
gqyn	死亡 殧
gqyo	裂变
gqyy	玖
grdf	碧
grg	珀
grgk	亚热带
gria	珠江
griq	理所当然
grit	珠海
griy	珠
grpg	珠宝
grqc	瑰
grww	青年人
gryt	璬
gsad	末期
gsdw	膥
gsgs	一模一样
gsh	玎
gsi	末
gsjc	不要紧
gskg	珂
gsly	不可思议
gsnq	不可避免
gsrh	末年
gssy	琳 瑮
gsum	末端
gtbb	麦子
gtbn	不得了
gten	琇
gtey	来得及
gtfh	珩 玝
gtfm	瓒
gtfp	珽
gtfq	珗
gtgf	不利于
gtgi	不得不 不知不觉
gtgq	一系列
gtgr	玫瑰
gtia	于长江
gtiy	天鹅洲
gtjh	琍
gtkd	王长顺
gtkg	珞
gtky	瑀
gtln	璁
gtmk	珦
gtnn	不得已
gtol	璠
gtqo	麹
gtqt	珞狮
gtrn	事务所
gtrr	不知所措
gtu	麦
gtuq	一等奖
gtut	再生产
gty	玫
gtya	一季度
gtyg	一般说来
guck	平台
gudh	珜
gudm	平面
gudr	平原
gufb	平地
gufj	平坦
gufm	夹击
gufn	下半场
gufq	平均
gufy	武装起义 平壤
guge	平静
gugk	平整
gugu	平平
guhk	平
guip	平常
guiv	平津
gujf	平时
gujh	璋
gujj	平日
gulj	武装力量
gumy	平凡
guna	平民
gunt	一次性
guoy	平米
gupg	平定
gupv	平安
guqt	平儿
gurc	平反
gurh	下半年
gusc	表决权
gusr	平板
gutf	平等 平行
gutg	平生
guth	平息
gutk	平和
gutq	平衡 平稳
guts	至关重要
guub	武装部队
guvh	亊
guvs	夹杂
guwb	郏
guwi	夹
guwm	颊 頬
guwv	一部分
guww	残疾人
guxe	平缓
guxt	珶
guym	天门市
gvaq	巰
gvbb	妻子
gvff	坙
gvfh	珒
gvhb	郪
gvhv	妻
gvtk	珺
gvtq	瑙
gvul	不好意思
gway	玳
gwdg	责任感
gwee	一个月
gwet	珍 副作用
gwgd	玲珑
gwgj	瑜 不合理
gwgm	与众不同
gwgr	珍珠
gwjh	玠
gwkh	珍贵
gwkk	珍品
gwmq	爾
gwna	珍惜
gwpg	珍宝
gwqe	一个多月
gwqk	一分钟
gwqq	一个多
gwqt	一会儿
gwrm	责任制
gwtq	珍稀
gwuk	更何况
gwvh	不仅如此
gwvn	玢
gwwc	不仅仅
gwwh	一个个
gwww	现代人
gwwx	现代化 一体化
gwyc	玲
gwyy	武修文
gxax	毒药
gxbf	夷陵
gxde	素有
gxdm	不约而同
gxeg	互助
gxfc	互动
gxfi	纛
gxgd	互
gxgi	互不
gxgo	素来 亚细亚
gxgu	毒
gxgx	毒素
gxij	繛
gxiu	素
gxjp	毒蛇
gxkk	毒品
gxnt	毒性
gxpg	王纬宇
gxrf	素质
gxrt	毒手
gxsh	互相
gxtr	毒物
gxud	素养
gxwi	夷
gxxt	璣
gyao	不计其数
gybb	班子
gybc	璃
gyck	天文台
gycq	琉 珫
gydg	玉石
gydm	一方面
gydo	平方厘米
gyfh	至高无上
gyft	天主教
gygg	斑
gygn	一言不发
gygy	琉璃
gyi	玉
gyip	天文学 天文学家
gyiy	琼
gyjg	不论是
gyke	瓖
gykk	玉器
gyle	瓌
gylg	璮
gyoy	平方米 玉米
gyta	班长
gytg	班
gyth	璇
gyto	平方千米
gyuj	玉音
gyus	不变资本
gyuu	政府部门
gyvb	瑯
gyve	琅
gyvk	瑭
gywj	平方公里
gywt	班主任
gyxy	玹
gyyx	死亡率
haag	虐
haec	皻
haeg	虘
hael	勮
haep	遽
hagg	眶
hagn	甗
hagq	覻
hagw	瞒
hakd	虞
halg	瞄
halv	虏
hame	彪
hamv	虎
hang	虛
hani	虑
haoa	戯
haog	虚
haoq	觑
haow	歔
hape	矇
hapu	虚实
haqy	眍
harn	虚拟
hauw	瞄准
hauy	虎门
hawn	虚假
haxu	虚弱
hayd	虔诚
hayi	虔
hcaf	皮革 皮鞋
hcbb	皮子
hcdm	颇
hcef	皮肤
hcfh	皯
hci	皮
hcmw	皮肉
hcrf	皮质
hcrh	眸
hctf	皮毛
hcwt	睃
hdff	睳
hdgt	歲
hdui	瞭
hdwj	睶
hdxn	眬
hef	肯
heg	眀
helg	战胜国
hepg	肯定
heph	瞬
hesy	睬
heuj	瞬间
hfak	睵
hfcl	瞌
hfcy	歧
hffg	眭
hfhw	瞋
hfpy	歧视
hftj	睹
hfwf	睦
hgbn	盹
hgcf	眰
hgeg	睛
hgfh	瞧不起 盱
hggq	鬩
hghn	眄
hgmg	凸
hgmx	矖
hgoy	睐
hgsy	眜
hgvh	睫
hhbp	上院
hhck	上台
hhcn	上马
hhdm	上面
hhfc	上去
hhfn	上场
hhgd	上天
hhgg	上
hhgh	上下
hhgo	上来
hhgy	上班
hhhf	目睹
hhhg	止
hhhh	目
hhhq	眼睁睁
hhip	上学 上演
hhiq	目光
hhit	上海
hhiv	上当
hhix	上涨
hhiy	上游
hhkh	上路
hhkk	目瞪口呆
hhlg	卡车 上车
hhll	丨
hhlp	上边
hhmd	上岸
hhmf	上周
hhmm	上山 上岗
hhmq	上网 上风
hhnf	上层
hhng	上司
hhnn	上书
hhpa	瞾
hhpw	上空
hhqg	上铺
hhqn	睍
hhrb	上报
hhrh	上年
hhrn	上扬
hhrq	目的
hhru	卡拉
hhsf	目标
hhsy	上述
hhta	上升
hhte	上船
hhtf	上午 上行
hhtl	止血
hhtu	上乘
hhu	卡
hhud	点点头
hhue	目前 上前
hhuk	上部
hhup	上帝
hhuq	上次 上将
hhuy	上门
hhvi	目录
hhwc	矍
hhwo	鸜
hhwt	上任
hhwy	止住 瞿
hhxe	上级
hhxg	上线
hhxn	眦
hhy	卜
hhye	上衣
hhyj	上课
hhym	上市 上调
hhys	上床
hhyy	上方
hicb	步骤
hich	督
hicy	叔
hidf	颦
hidm	频
higj	叔惠
hihc	敊
hihi	叔叔 频频
hipf	瞠
hipw	督察
hiqn	眺
hir	步
hirg	步兵
hism	柴油机
hisw	步枪
hitf	步行
hitt	眇
hitx	频繁
hity	步入
hiu	尗
hiut	频道
hiwa	步伐
hiwk	督促
hiwq	叔父
hiym	上海市
hiyx	频率
hjbb	桌子
hjdm	桌面
hjfh	旧址 卓越 睅
hjg	旧
hjhh	桌上
hjj	卓
hjqb	児
hjrm	旧制
hjsu	桌
hkal	战功
hkaq	战区
hkat	战
hkbb	点子
hkcn	战马
hkcs	梷
hkdc	战友
hkde	占有
hket	战胜 占用
hkf	占
hkfb	占地
hkfg	战士
hkfm	点击
hkfn	战场
hkgk	战事
hkgq	战死
hkhk	点点
hkif	战法
hkiu	点滴
hkjs	战果
hklg	战国 战车
hklt	战略
hkmq	觇
hkmt	战败
hknn	战局 乩
hkny	点心
hkoo	战火
hkoq	点燃
hkou	点
hkqt	点儿
hkqv	战争
hkrg	战后
hkrn	占据
hksm	战机
hksy	战术
hktd	战乱
hkte	战舰 战船
hktl	战备
hktm	战役
hkud	点头 点着
hkuf	战斗
hkwe	战俘
hkwy	占领
hkxc	点缀
hkxg	战线 战绩
hkyg	点评
hkyp	点亮
hlcq	卤鸡
hlnf	卣
hlqa	鹾
hlqi	卤
hlqt	鹹
hlqw	鹼
hlsy	睏
hmgk	眮
hmnk	卨
hmu	贞
hnan	眠
hnbt	瞰
hndm	卢布 颅
hndn	鼎
hne	卢
hngo	肯尼亚
hnhh	瞩目
hnqg	鸬
hnty	瞩
hnu	忐
hnuu	鼎立
hoy	眯
hpbb	瞎子
hpdk	瞎
hpfq	睆
hpgc	叡
hpgf	壑
hpgh	睿
hpgm	矉
hpju	瞑
hpqn	眈
hpsh	眝
hptt	敹
hqce	餐
hqco	粲
hqds	餐厅
hqdy	瞻
hqhj	餐桌
hqjg	眴
hqkg	眳
hqkq	睌
hqqn	餐馆 餐饮
hqqy	眵
hqta	卢象升
hqvh	睁
hqwq	瞻仰
hrey	眽
hrfb	目的地
hsfd	紫禁城
hsfi	瞟
hsh	盯
htfn	眊
htgf	睡
hthn	睡眠
htip	睡觉
htmt	矀
htoy	瞅
htpy	眨
htud	睡着
hudh	眻
hudy	眹
hued	矓
hufn	上半场
hujf	瞳
hult	战斗力
hunt	矙
hurh	上半年
husm	战斗机
huxt	睇
hvey	眼
hvfp	睷
hvgf	眼球
hvgh	眼下
hvgr	眼珠
hvha	眼眶
hvhc	眼皮
hvhg	眼睛
hvih	眼泪
hviq	眼光
hvjf	眼里
hvkh	眼中
hvmq	眼见
hvpy	眼神
hvqc	眼色
hvqe	眼角
hvqn	睨
hvqu	眼镜
hvrh	眼看
hvue	眼前
hwbc	龄
hwbe	龈
hwbf	龌
hwbg	龃
hwbh	龊
hwbj	齿
hwbk	龉 龆
hwbn	龅 龁
hwbx	龇 龀
hwby	龋
hwcn	瞈
hwde	具有
hwgd	睽
hwgi	睑
hwgj	睮 瞺
hwgu	瞪
hwgw	瞼
hwhw	瞧瞧
hwmq	瞧见
hwnd	睺
hwrv	占优势
hwtl	具备
hwu	具
hwvn	盼
hwwf	睉
hwwk	齣
hwwn	齙
hwws	具体
hwyg	睢
hwyn	盼望
hwyo	瞧
hwyq	卢俊义
hxdf	砦
hxfb	此地
hxff	些
hxgk	此事
hxif	此法
hxim	柴油
hxiw	此举
hxjf	此时
hxkf	呰
hxln	眑
hxmu	赀
hxn	此
hxnn	此书
hxod	此类
hxqc	紫色
hxqe	觜
hxqh	此外
hxrg	此后
hxrh	矊
hxsu	柴
hxth	此处
hxtk	此种
hxtt	柴禾
hxue	此前
hxuj	此间
hxuq	此次
hxww	此人
hxwy	雌
hxxi	紫
hxyf	訾
hxyn	此刻
hxyy	此言
hyaw	矌
hyct	瞮
hynd	睙
hyni	眿
hyut	紫文道
hyxy	眩
iaai	江东
iaal	江苏
iabf	江陵
iada	流芳百世
iadh	江夏
iadm	江面 满面 澒
iadn	湛
iadr	澌
iadw	淇
iaee	江豚
iaep	满腔
iaet	潵
iaew	满脸
iafa	满载
iafb	满地
iafg	泔
iafk	泄露
iafm	江南
iag	江
iaga	洪武
iage	江青
iagn	懑
iagw	满
iaia	洪涝
iaic	江汉
iaid	江湖 洪湖
iaig	满清
iaii	洪水 江水
iain	泄漏
iais	潇湘 江河 潇洒
iait	江苏省 港澳
iaiv	灌溉
iaiw	江淮
iaiy	满洲 洪流 波斯湾 江流
iajd	漠
iakh	满足 江中
iakk	港口
iaky	灌
iamd	渶
iamm	江山 洪山 満
iamw	潢
ian	汇
iang	满怀 洰
iann	泄
ians	渠 渫
iant	泧
iany	满心
iape	濛
iapl	涝
iapy	滢
iaqg	鸿
iaqh	灊
iaqy	沤
iarb	汇报
iasf	汇票
iasg	江西
iass	灌木
iatm	满身
iatq	浇
iaty	汇入
iaud	满头
iauj	满意
iaut	渠道
iaux	江北
iavj	潇
iavn	沏
iawc	洪七公 濩
iawg	汇合
iawn	港
iawq	鍙
iawy	洪 汇集
iayn	汤若望
iayt	满族
iayx	汇率
ibaq	汉阳区
ibbb	小孩子 灄
ibcc	滠
ibeg	江陵县
ibfy	池塘
ibg	洱
ibib	涵
ibis	池河
ibk	凼
ibkh	学院路
ibld	洪承畴
ibln	泐
ibn	池 氾
ibrn	派出所
ibug	涵盖
ibwt	滁
ibyw	汉阳府
icag	泾
icbb	汉子
icbj	汉阳
icbm	涌出 渗出
icbs	渘
icde	渗
iceh	涌
icem	流通股
icen	慂
icfd	汉城
icfh	泽
icgj	治理
icgm	涌现
icia	汉江
icii	汉水
ickg	治
ickh	汉中
ickk	汉口
ickt	汉川
iclg	治国
icnn	汉书
icpb	汉字
icpv	治安
icrn	治所
icsc	治权
icsm	游戏机
ictd	涘
icte	渗透
icty	渗入
icub	治疗
icug	治病
icvf	汉奸
icwa	汉代
icwg	治愈
icwk	汉堡
icwt	浚
icww	汉人
icwy	滩
icy	汉
icyg	汉语
icyj	溞
icyt	汉族
icyy	汉文 汊
idaq	江夏区 湖区
iddm	湖面
ideg	湖 洧
idet	瀀
idff	涯 溽
idfm	湖南
idfn	洿
idg	沽
idgf	源于
idgt	滅
idhb	洊
idhc	滟
idhh	沣
idii	湖水
idim	淹没
idir	湖泊
idjf	湹
idjg	洦
idjn	淹
idkh	湖中
idkn	尖叫
idln	沥
idlp	湖边
idmd	湎
idmj	洏
idoy	洃
idqu	尖锐
idri	源 源泉
idsg	湖西
idsh	尖椒
idtf	涛
idtg	澳大利亚
idu	尖
idud	源头
idui	潦
idux	湖北
idvt	江夏郡
idxn	泷
idyy	湖广 汰
iebc	汲取
iebg	浮
iecn	淝
ieek	浮肿
ieer	逍遥
ief	肖
iefc	湲
iefu	沮丧
iegg	沮
iejh	削
iemf	浮雕
iepd	逍
ietf	淫
ieto	潙
ieud	削减
ievg	滔
ievh	淨
iewq	肖像
iexd	溪
iexo	鸂
iexu	削弱
ieyy	汲 涿
ifae	灞
ifam	濆
ifaq	汉南区
ifaw	瀻
ifbb	法子
ifbp	法院
ifbw	游击队
ifcl	溘
ifcy	法
ifdh	潜在
ifdj	濡
iff	尘
iffb	洼地
iffc	尘埃
ifff	湗 尘土 清真寺
iffg	洼
iffw	法规
ifgg	法王
ifh	汗 汁
ifhq	游击战争
ifhw	滇
ifia	潜江
ific	法治
ifii	潜水 汗水 污水 潮水
ifij	潮湿
ifip	法学
ifit	湖南省 河南省 渤海 海南省
ifiv	污染
ifiy	潮流 浗 沬
ifje	潮
ifjn	瀚
ifke	澎
ifkf	澍
ifkg	洁
iflg	法国
iflt	潜力
ifma	法典
ifmf	湳
ifmj	法则
ifnd	渎
ifnn	污
ifny	潜心
ifpb	浡
ifpg	法定
ifpl	渤
ifpn	法官
ifpq	涜
ifpv	法案
ifqn	沅
ifqy	海南岛
ifrm	法制
ifrr	洁白
ifte	潜艇
iftj	渚
iftv	法律
ifty	潜入
ifwj	潜
ifwk	濇
ifww	法人 当地人
ifwy	法令
ifyg	法语
ifym	深圳市
ifyt	法庭
igab	清蒸
igah	汧
igbj	沔阳
igbn	沌
igbw	清除
igdn	添
igef	溥
igeg	清
igeq	清脆
igey	浦
igfc	漕运
igfh	汙
igfj	清朝
igg	汪
iggc	潖
iggj	清理
iggs	清末
ighg	泟
ighn	沔
igia	清江
igif	清洁
igii	清水 浅水
igit	清洗
igiy	清澈
igjd	清晨
igje	清明
igjg	洹
igjs	清晰
igkg	浯
igkh	滆 滞
igki	涑
igkj	溂
igkm	瀬 濑
igkt	潄
igkw	漱
igli	湅
iglk	添加
igmg	淸
igmh	沛
igmi	洓
igmj	漕
igmq	清风
igmy	渍
ignf	浅层
igog	清炖
igoj	溍
igoy	涞
igpk	清宫
igpl	清军 党政军
igpu	清初
igqj	洌
igrd	耀武扬威
igrg	清兵
igsg	清醒
igss	清楚
igsy	沫
igt	浅
igtf	清廷
igth	清算
iguj	清单
igup	汉武帝
igus	清新
iguw	浃
igwa	清代
igww	当事人
igwx	清华
igwy	溥仪
igxw	洟
igyp	清亮
igyw	清政府 省政府
ihad	波斯
ihah	滹
ihan	滤
ihaq	小区
ihbb	小子 婆子
ihbn	小孔
ihby	小孩
ihcn	小马
ihcv	婆
ihcy	波
ihda	小厮
ihdt	濊
ihdx	小龙
ihdy	湨
ihet	小腹
ihey	涉及
ihfc	波动
ihfd	小城
ihfg	小雨
ihfn	小声
ihg	泪 沚
ihga	小型
ihgf	小于
ihgk	小事
ihgt	小麦
ihic	淑
ihih	婆婆 小小
ihii	泪水
ihim	濒
ihip	小学
ihit	涉 渺
ihiy	波浪
ihjf	小时
ihjh	淖
ihjt	濒临
ihkg	沾
ihkh	小路 涉足
ihkn	惉
ihkt	小吃
ihlq	波罗
ihmh	小贝
ihmy	湞 浈
ihng	小屋
ihnt	泸
ihny	小心
ihoy	小米
ihpb	小字
ihph	濬
ihqf	小镇
ihqt	小儿
ihqy	小岛
ihrc	小摊
ihrh	小牛
ihrq	小鬼
ihta	波长
ihte	小船
ihty	小
ihuf	波兰
ihuj	波音
ihuq	小将
ihux	小弟
ihve	小姐
ihvy	婆娘
ihwd	波段
ihww	小人
ihwy	濉
ihxe	小组
ihxn	泚
ihxt	小张
ihyu	小说
ihyv	小康
iiaa	浩浩荡荡
iibf	水陆
iibw	消除
iice	水能
iidi	消耗 水泵
iidm	水面
iieg	消
iifa	水域
iifc	水运
iiff	水土
iifl	水雷
iigd	江汉平原
iigh	水下
iigo	消灭
iigu	水平
iigx	消毒
iihh	水上
iiia	沙漠
iiic	沙滩
iiid	水源 沙湖
iiii	水
iiij	水温
iiim	水洞
iiin	水泥
iiip	水深
iiiq	水泡
iiis	沙河
iiit	浙江省
iiiu	淼
iiiy	水流
iijg	水量
iijj	水晶
iijn	水电
iijs	水果
iikh	水中 水路
iikk	小河口
iilt	水力
iimk	淌
iina	江泽民
iint	沙发 水性
iipl	水军
iipo	灙
iiqe	水解
iiqg	淡水鱼 鲨鱼
iiqn	沙包 洮 洸
iirf	水质
iirg	沙丘 沙皇
iirq	小小的 淡淡的
iirt	水手
iirw	消失
iise	消极
iiss	清清楚楚 肖鸿林
iite	水稻 裟
iitg	水生 小学生 鲨
iith	消息
iitj	水利
iitr	污染物 挲
iitt	沙
iitv	娑
iitx	水系
iiut	水产 水道
iiuw	水准
iiws	水体
iiwt	沙俄
iiwu	水位 沙僧
iiwv	水分
iiwx	消化
iixj	消费
iixt	水乡
iiyl	水库
iiym	沙市 潜江市
iiyq	水底
iiyt	水族
iiyy	水文 浪漫主义
ijai	瀑
ijcb	温柔
ijdm	瀑布
ijet	滥用
ijf	沓
ijfa	戦
ijfb	湿地
ijfg	涅
ijfn	温馨
ijg	汨 汩
ijgh	浉 湜
ijgk	温带
ijgl	漫画
ijgr	湯
ijhi	漫步
ijhk	混战
ijim	虩
ijiq	梁曙光 混淆 滉
ijiu	湿润
ijiy	漫游
ijje	温暖
ijlc	漫
ijlg	温
ijmy	湡
ijog	湿
ijqn	渴
ijri	温泉
ijta	漫长
ijtd	混乱
ijtk	温和
ijtl	滥
ijud	温差
ijuh	水电站
ijvs	混杂
ijwg	混合
ijwh	小时候
ijxm	灦
ijxt	洩
ijxx	混
ijy	浊
ijya	温度 湿度
ijym	灏 灝
ijyn	渴望
ijyt	温州
ikbt	濈
ikeg	涓
ikgd	洖
ikgv	漊
ikhh	沖
ikhk	潞
ikhm	溃 潰
ikhy	浞
ikjn	渑
ikkf	潬
ikks	澡
iklw	涡轮
ikmd	党中央
ikmw	涡
ikmy	涢
ikun	溃疡
ilaw	潩
ildg	涸
ildy	洇
ileg	渭
iley	溷
ilfh	涠
ilfo	潶
ilg	泗
ilgj	淠
ilil	渐渐
ilkg	洄
ilnh	潿
ilpy	涟
ilrf	壍
ilrh	渐
ilri	波罗的海
iluf	溿
ilww	法国人
ilwy	泅
ilxi	漯
ilyj	添加剂
ilym	省辖市
imaa	濺
imae	濃
imaf	沿革
imaq	洪山区 江岸区
imau	澧
imaw	油茶
imcw	测验
imcy	没
imde	没有 尚有
imdj	湍
imdx	沿袭
imdy	泱
imeg	滑 尚且
imet	沿用 没用
imex	油脂
imfi	尚未
imfq	尚无
img	油
imga	敞开
imgk	洞 没事
imgl	油画
imgt	溅 澂
imh	汕
imia	沿江
imif	没法
imis	油漆 沿河
imit	沿海
imjg	测量
imjh	测
imjr	瀃
imkf	尚 尙
imkg	沿
imkk	洞口
imkn	氅
imkt	敞
imll	油田
immd	沿岸
immv	瀴
imnh	没收
imnn	尚书
imnp	濄
imou	油料
impg	测定
impw	洞穴
imqh	海内外 省内外
imrn	油气
imsm	油桐
imtd	滑稽
imth	溄
imud	沿着
imwn	涔
imwt	沿途
imww	油价
imwy	汭
imxg	海岸线 沿线
imya	测试
imyt	洞庭
inad	汛期
inaj	湣
inan	泯
inbb	潺
inbt	澉
inff	泥土
infh	汛
infy	漏
ingf	渥
inhg	湄
inih	漽
inii	泥沙
inim	漏洞
inlw	瀷
inmj	涮
inn	汜
innn	小心翼翼
inqg	泥鳅
inro	烫
inrt	汤
intd	湉
intn	浘
intt	泌
inty	泼
invn	泦
inwy	濯 決
inxn	泥
iny	沁
inyw	泤
iobg	汪精卫
ioii	淡水
ioio	淡淡
iolw	瀵
iony	少数民族
iook	瀯
iooo	濙
iooy	淡
iovg	溇
ioy	洣
ipad	学期
ipan	学艺
ipav	深切
ipaw	黉
ipbb	学子
ipbf	学
ipbj	沈阳
ipbm	演出
ipbp	学院
ipbt	敩
ipbu	学联
ipcy	常驻
ipde	浓郁 常有
ipdg	深感
ipdj	浓厚 深厚 浑厚
ipdl	学历
ipdw	演奏
ipep	深受
ipet	常用
ipey	浓
ipfc	尝 滱
ipfg	学士
ipfh	瀽
ipfi	淙
ipfj	沉井
ipfk	深圳
ipfn	掌声
ipfq	浣 深远
ipft	学者
ipfw	常规
ipgc	学到
ipge	沉静 常青
ipgf	溶于
ipgg	泻 渲
ipgh	党政 淀
ipgw	演
ipif	掌法
ipii	深水
ipip	常常 深深 学堂 沉淀 深沉 堂堂 淙淙
ipir	学派 党派
ipit	滨海 深海 深渊
ipiu	泶
ipiv	沉浸
ipiy	溶液
ipjh	渖
ipju	溟
ipke	裳
ipkf	堂
ipkh	常
ipkj	演唱
ipkm	演员 赏 党员 学员
ipkq	党
ipkr	掌
ipks	棠
ipkt	牚
ipkw	沉吟
iplf	沉默
iplh	浑 渾
ipln	沉思
iplw	学界
ipmj	赏赐
ipmm	深山
ipmn	沉
ipmq	觉 常见 党风
ipmw	党内
ipng	深情 觉悟 堂屋
ipnn	涫
ipnu	学习 演习
ipny	掌心
ipog	学业
ipov	常数
ipow	淀粉
ippe	学家
ippw	觉察
ipqe	溶解
ipqg	鲎
ipqn	沈
iprh	常年
iprn	掌握
iprw	滨
ipsa	掌柜
ipsg	觉醒
ipsu	学校
ipsy	学术
iptd	深知
iptf	常德
iptg	学生 沉重
ipth	深处
iptj	觉得 沉香
iptk	沉积 喾
iptl	常务
iptm	浑身
iptp	掌管
iptu	学科
iptv	党委 常委
ipty	深入
ipud	沉着 觉着
ipuh	滓
ipuk	学问
ipuy	掌门
ipvc	濅
ipwa	涳
ipwf	学会 潌
ipwk	溶 滘
ipws	深
ipwu	学位
ipww	常人 深谷
ipwx	深化 演化
ipwy	常住 当家作主
ipxa	演练
ipxe	党组
ipxj	学费
ipxn	沱
ipxp	浓缩
ipxv	常绿
ipya	深度 尝试 浓度
ipyf	演讲
ipyj	溶剂
ipyk	常识 赏识
ipym	常设
ipyn	深刻
ipyo	演变
ipyu	学说 演说
ipyw	学府 深夜
iqap	光荣
iqas	滐
iqay	光芒
iqb	光
iqbh	汹
iqbm	逃出
iqce	沟通
iqcy	沟
iqdb	洈
iqde	淆
iqdh	浠
iqdm	頫
iqdy	澹
iqes	光彩
iqeu	逃脱
iqfc	鼗
iqfh	逃走
iqfn	渔场
iqg	淦
iqgg	渔
iqhv	耀眼
iqia	沟渠
iqic	光泽 汹涌
iqid	淘汰
iqig	泡沫
iqii	浠水
iqim	光滑
iqip	光学
iqiq	光辉
iqiy	泺
iqje	光明
iqjg	洵
iqjn	光电
iqjv	光照
iqjy	光景
iqkg	洺 泃
iqkh	逃跑
iqkq	浼
iqky	瀺
iqmd	涣 渙
iqmq	渔网
iqna	渔民
iqnk	逃避
iqnn	泡
iqny	耀
iqog	渔业
iqor	辉煌
iqoy	漁
iqpl	辉
iqpv	逃
iqqb	洶
iqrh	光年
iqrm	淘
iqtb	泖
iqte	光盘
iqtg	逃生
iqtj	潴
iqtk	漪
iqty	逃往
iqv	兆
iqvh	浄
iqwg	逃命
iqws	染色体
iqww	光谷
iqwx	光华
iqxf	光绪
iqxg	光线
iqxj	光缆
iqxt	光纤
iqy	汐
iqyl	溜
iqyn	逃亡
iqyp	光亮
